"partner_key","ab_slot1_variant","event_count","freq"
Partner B,,235,2
Partner B,,236,1
Partner B,,238,2
Partner B,,241,1
Partner B,,243,1
Partner B,,248,1
Partner B,,249,1
Partner B,,253,2
Partner B,,255,2
Partner B,,259,2
Partner B,,260,1
Partner B,,264,1
Partner B,,265,2
Partner B,,281,1
Partner B,,292,1
Partner B,,312,2
Partner B,,334,1
Partner B,,346,1
Partner B,,357,1
Partner B,,358,1
Partner B,,362,1
Partner B,,364,1
Partner B,,380,1
Partner B,,413,1
Partner B,,423,1
Partner B,,429,1
Partner B,,482,1
Partner B,,607,1
Partner B,,655,1
Partner B,,697,1
Partner B,,733,1
Partner B,,736,1
Partner B,,738,1
Partner B,,903,1
Partner B,,929,1
Partner B,,930,1
Partner B,,946,1
Partner B,,972,1
Partner B,,1026,1
Partner B,,1092,1
Partner B,,1224,1
Partner B,,1299,1
Partner B,,1328,1
Partner B,,1438,1
Partner B,,1542,1
Partner B,,1951,1
Partner B,,2049,1
Partner B,,2361,1
Partner B,,3002,1
Partner B,,3404,1
Partner B,,3466,1
Partner B,,5161,1
Partner B,,6174,1
Partner B,,6177,1
Partner B,,7448,1
Partner B,,7868,1
Partner B,,9548,1
Partner B,,12646,1
Partner B,,12651,1
Partner B,,14742,1
Partner B,,34347,1
Partner B,,56881,1
